Tên văn phòng đại diện,Ngày cấp,Ngày hết hạn,Quốc gia,Điện thoại VPDD,Địa chỉ,Tên trưởng đại diện,Quốc tịch,Số giấy phép,Ngày cấp phép,Ngày giấy phép hết hạn,Lĩnh vực hoạt động,Tên công ty mẹ,Địa chỉ van phong chinh,Điện thoại VPDD Chinh,Năm thành lập,Nơi ĐKTL,"Bang, Tỉnh, TP",Vốn điều lệ
LABORATORIOS BAGÓ S.A.,2018-09-19 09:17:24.535,2023-09-19 00:00:00.0,Argentina,,"Phòng 2B, lầu 2, tòa nhà Fimexco, số 231 - 233, Lê Thánh Tôn, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Verni Alejandro Sebastian,Argentina,"79-05233-01
Thương mại",2018-09-19 09:17:24.535,2023-09-19 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Laboratorios Bagó S.A.,"Bernardo de Irigoyen 248 - Capital Federal, Buenos Aires - Argentina C1072AAF",,0,Argentina,,0 USD
"HAEAHN ARCHITECTURE, INC.",2018-09-18 09:20:33.065,2023-09-17 00:00:00.0,Hàn Quốc,,"1109, Miss Áo Dài, 11, 21, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Hwangbo Hyun,Hàn Quốc,"79-05232-01
Đầu tư",2018-09-18 09:20:33.065,2023-09-17 00:00:00.0,"Đầu tư : Xây dựng công trình,","Haeahn Architecture, Inc.","Bongeunsa-ro 208, Gangnamgu, Seoul (Yeoksam-dong, Haeahn Building), Korea",82-2-3438-8000,0,Hàn Quốc,Seoul,0 USD
SAMUDERA SHIPPING LINE LTD.,2018-09-19 10:12:55.966,2023-09-19 00:00:00.0,Indonesia,,"1, Pearl Plaza, 17, 561A, đường Điện Biên Phủ, phường 25, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Mohamad Nurul Iman Supiandi,Indonesia,"79-05234-02
Dịch vụ",2018-09-19 10:12:55.966,2023-09-19 00:00:00.0,"Dịch vụ : Giao nhận, vận tải đường biển,",Samudera Shipping Line Ltd.,"6 Raffles Quay, #25-01, Singapore (048580)",6564031687,0,Singapore,,0 USD
LANDO PHARMACEUTICAL PTE. LTD.,2018-09-17 13:26:04.583,,Việt Nam,,"493/4, Lê Đức Thọ, phường 16, quận Gò Vấp, thành phố Hồ Chí Minh, Việt Nam",Trịnh Thị Diệu Yên,Việt Nam,"79-05230-01
Thương mại",2018-09-17 13:26:04.583,,"Thương mại : Dược phẩm, thuốc tây,",Lando Pharmaceutical Pte. Ltd.,"6 Temasek Boulevard # 29-00 Suntec Tower Four, Singapore (038986)",,0,Singapore,,0 USD
IFB INGENIEURBURO FUR BAUTECHNIK GMBH,2018-09-17 15:49:07.9,2023-09-17 00:00:00.0,Đức,,"Ngôi Nhà Đức Thành phố Hồ Chí Minh, 4, 33, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Herrmann Geb. Willer Frauke Claudia,Đức,"79-05231-01
Dịch vụ",2018-09-17 15:49:07.9,2023-09-17 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",IFB Ingenieurburo fur Bautechnik GmbH,"Kleine Seilerstraße 1, 20359 Hamburg, Germany",49408000475,0,Đức,,0 USD
HYUNDAI WIA CORPORATION,2018-09-17 09:04:35.182,2023-09-17 00:00:00.0,Hàn Quốc,,"Vietphone Building-1, 1, 64, Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Kwak Daeshin,Hàn Quốc,"79-05229-01
Thương mại",2018-09-17 09:04:35.182,2023-09-17 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Hyundai Wia Corporation,"#153, Jeongdong-ro, Seongsan-gu, Changwon-si, Gyeongsangnam-do (Gaeumjeong-dong), Korea",84-55-280-9114,0,Hàn Quốc,,0 USD
ACTONA COMPANY A/S,2018-09-14 09:16:20.363,2023-09-14 00:00:00.0,Việt Nam,,"Lexington Residence, Lô LE-03.65, số 67, , Mai Chí Thọ, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thanh Hiền,Việt Nam,"79-05228-01
Thương mại",2018-09-14 09:16:20.363,2023-09-14 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",Actona Company A/S,"Smedegardvej 6A, Tvis, DK-7500 Holstebro, Denmark",,0,Đan Mạch,,0 USD
GENCOR PACIFIC ORGANICS INDIA PRIVATE LIMITED,2018-09-12 12:28:47.329,2023-09-12 00:00:00.0,Việt Nam,,"S.05B, Parkway Villas, 202B, Hoàng Văn Thụ, phường 9, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",Đào Vân Giang,Việt Nam,"79-05226-01
Thương mại",2018-09-12 12:28:47.329,2023-09-12 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Gencor Pacific Organics India Private Limited,"Module 307&amp;308, third Floor, Phase 2, Ticel Biopark Limited, No.5, Csir Road, Taramani Chennai TN 600113, IN",9144 22540138,0,Ấn Độ,,0 USD
ERALDA INDUSTRIES LIMITED,2018-09-12 15:14:14.634,2018-12-31 00:00:00.0,Anh,,"16.10-02, Deutsches Haus Thành phố Hồ Chí Minh, 16, số 33, Lê Duẩn, Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Gavin Stuart Forsgate,Anh,"79-05227-01
Thương mại",2018-09-12 15:14:14.634,2018-12-31 00:00:00.0,"Thương mại : Quần áo và đồ phụ kiện,",Eralda Industries Limited,"Unit B 11/F Wing Tai Centre, 12 Hing Yip Street, Kwun Tong, KL, Hong Kong",852 2976 7788,0,Hồng Kông,,0 USD
"VĂN PHÒNG ĐẠI DIỆN PILARQUIM (SHANGHAI) CO., LTD TẠI THÀNH PHỐ HỒ CHÍ MINH.",2018-09-10 08:56:08.206,2023-09-10 00:00:00.0,Trung Quốc,,"175, phường Tân Quý, quận Tân Phú, thành phố Hồ Chí Minh, Việt Nam",Mu Bin,Trung Quốc,"79-05222-01
Thương mại",2018-09-10 08:56:08.206,2023-09-10 00:00:00.0,"Thương mại : Hóa chất,","Pilarquim (Shanghai) Co., Ltd","1500 Hang - Tang Road, Jin-Hui Town, Feng Xian District, Shanghai, China",8621-5758-9888,0,Trung Quốc,,0 USD
"KYOUNGWON COST ENGINEERING CO., LTD.",2018-09-10 10:12:05.749,2023-09-10 00:00:00.0,Hàn Quốc,,"Căn OT05, Landmark 4, Vinhomes Central Park, 38, 720A, Điện Biên Phủ, phường 22, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",An Yeon Kwan,Hàn Quốc,"79-05224-01
Dịch vụ",2018-09-10 10:12:05.749,2023-09-10 00:00:00.0,"Dịch vụ : Dịch vụ bất động sản,","Kyoungwon Cost Engineering Co., Ltd.","11, Baumoe-ro, 18-gil, Seocho-gu, Seoul, Korea",,0,Hàn Quốc,,0 USD
EFAL CHEMICAL INDUSTRIES LTD.,2018-09-10 12:58:51.595,2023-09-10 00:00:00.0,Việt Nam,,"7, 60, Nguyễn Văn Thủ, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Trịnh Thị Bích Phượng,Việt Nam,"79-05221-01
Dịch vụ",2018-09-10 12:58:51.595,2023-09-10 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",Efal Chemical Industries Ltd.,"8 Hamelacha, Netanya, Post Code: 4250543, Israel",97298656454,0,Israel,,0 USD
SOUTHEASTASIAN MERCANTILE COMPANY LIMTED,2018-09-10 14:28:04.786,2020-04-09 00:00:00.0,Cộng Hòa Pháp,,"69, khu phố 3, Thảo Điền, Đường số 4, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Geourjon Benjamin,Cộng Hòa Pháp,"79-05225-01
Thương mại",2018-09-10 14:28:04.786,2020-04-09 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,",Southeastasian Mercantile Company Limted,"Room 1405, 14/F C C Wu Building, 302-308 Hennessy Road, Wanchai, Hong Kong",,0,Hồng Kông,,0 USD
ORIENT GLOBAL SERVICES PTE. LIMITED,2018-09-10 09:21:07.569,2023-09-10 00:00:00.0,Việt Nam,,"Times Square, số 22-36 Nguyễn Huệ và 57-69F Đồng Khởi, 12, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Vũ Thùy Anh,Việt Nam,"79-05223-01
Dịch vụ",2018-09-10 09:21:07.569,2023-09-10 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",ORIENT GLOBAL SERVICES PTE. LIMITED,"80 Raffles Place, #46-01, UOB Plaza, Singapore (048624)",6562105555,0,Singapore,,0 USD
"IMPAQ TESTING TECHNOLOGY CO., LTD",2018-08-31 11:06:31.96,2023-08-30 00:00:00.0,Trung Quốc,,"B32, phường Tân Hưng, quận 7, thành phố Hồ Chí Minh, Việt Nam",Guixiang Tao,Trung Quốc,"79-05220-01
Dịch vụ",2018-08-31 11:06:31.96,2023-08-30 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,","Impaq Testing Technology Co., Ltd","No. 201, Comprehensive office building A, Qianhai Shenzhen &amp; Hongkong Cooperation Zone Authority, No.1 Liyumen Street, No.1 Qianwan Road, Shenzhen &amp; Hongkong Cooperation Zone, Qianhai, Shenzhen (Settled Shenzhen Qianhai Commercial Secretary Co., Ltd), China",8675532998288,0,Trung Quốc,,0 USD
"HOME DEPOT INTERNATIONAL, INC.",2018-08-29 16:15:53.963,2023-08-28 00:00:00.0,Mỹ,,"President Place, lầu 3, 93, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Hua Li,Mỹ,"79-05219-01
Sản xuất",2018-08-29 16:15:53.963,2023-08-28 00:00:00.0,"Sản xuất : Đồ nội thất, ngoại thất,","Home Depot International, Inc.","2711 Centerville Road, Suite 400, City of Wilmington, Country of New Castle, State of Delaware 19801, United States of America",7704338211,0,Hoa Kỳ,Delaware,0 USD
VĂN PHÒNG ĐẠI DIỆN COMMEND HOLDINGS LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH.,2018-08-29 13:56:05.317,2019-03-25 00:00:00.0,Taiwan,,"Tầng 3, số 414 , Lũy Bán Bích, phường Hòa Thạnh, quận Tân Phú, thành phố Hồ Chí Minh, Việt Nam","Chang, Chi-huang",Taiwan,"79-05218-02
Xây dựng",2018-08-29 13:56:05.317,2019-03-25 00:00:00.0,"Xây dựng : Đầu tư kinh doanh,",Commend Holdings Limited,"Unit 15, 10/F One Midtown, 11 Hoi Shing Road, Tsuen Wan, NT, Hong Kong",25941270,0,Hồng Kông,,0 USD
A D LAB PTE. LTD.,2018-08-29 10:35:03.954,2023-08-28 00:00:00.0,Canada,,"S.02A, 2, 7/17-9/17-11/17-13/17, Nguyễn Trãi, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Alan Yeung Woo,Canada,"79-05217-01
Dịch vụ",2018-08-29 10:35:03.954,2023-08-28 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",A D Lab Pte. Ltd.,"111 Middle Road, #03-03, National Design Centre, Singapore (188969)",6563460488,0,Singapore,,0 USD
TRUELOG PTE. LTD,2018-08-27 09:58:56.516,2023-08-27 00:00:00.0,Việt Nam,,"1, 202 , Phường 09, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",Hà Đức Anh,Việt Nam,"79-05214-01
Dịch vụ",2018-08-27 09:58:56.516,2023-08-27 00:00:00.0,"Dịch vụ : Giao nhận, vận tải đường biển,",Truelog Pte. Ltd,"101 Cecil Street, #11-05, Tong Eng Building, Singapore (069533)",6569093756,0,Singapore,,0 USD
"NIHON BUILDING SERVICE CO., LTD",2018-08-27 16:53:18.478,2023-08-27 00:00:00.0,Việt Nam,,"2, Building 168, 2, 4, Nguyễn Thị Minh Khai, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lưu Thị Kim Yến,Việt Nam,"79-05216-01
Thương mại",2018-08-27 16:53:18.478,2023-08-27 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,","Nihon Building Service Co., Ltd","1-6-27, Higashishinsaibashi, Chuo ku, Osaka, Nhật Bản",00810647044455,0,Nhật Bản,,0 USD
AICHELIN SERVICE GMBH,2018-08-27 10:45:57.547,2023-08-27 00:00:00.0,Đức,,"901, Vietcomreal, 9, 68, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Oliver Runge,Đức,"79-05215-01
Thương mại",2018-08-27 10:45:57.547,2023-08-27 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Aichelin Service Gmbh,"Schultheiß-Köhle-Str. 7, 71636 Ludwigsburg, Germany",,0,Đức,,0 USD
HANWHA ENERGY CORPORATION,2018-08-27 08:55:58.665,2023-08-27 00:00:00.0,Hàn Quốc,,"Phòng L11-07, Tầng L11, Tòa nhà Vincom Center Đồng Khởi, số 72, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lee Sangwu,Hàn Quốc,"79-05213-01
Thương mại",2018-08-27 08:55:58.665,2023-08-27 00:00:00.0,"Thương mại : Công nghệ môi trường,",Hanwha Energy Corporation,"Hanwah energy Corporation, 3F, 499, Hannuri-daero, Sejong-si",82 44 850 3463,0,Hàn Quốc,,0 USD
DIGITAL MEDIA PROFESSIONALS INCORPORATION,2018-08-17 15:14:29.043,2023-08-16 00:00:00.0,Cộng Hòa Pháp,,"B.02, HM Town, 14, 412, Nguyễn Thị Minh Khai, phường 5, quận 3, thành phố Hồ Chí Minh, Việt Nam","Benjamin, Alain, Henri Schmitt",Cộng Hòa Pháp,"79-05211-01
Thương mại",2018-08-17 15:14:29.043,2023-08-16 00:00:00.0,"Thương mại : Phần cứng máy tính,",Digital Media Professionals Incorporation,"16F Nakano Central Park South, 4-10-2 Nakano ku, Tokyo, 164-0001, Japan",81364540450,0,Nhật Bản,Tokyo,0 USD
"SHOWA INDUSTRY INC.,",2018-08-17 16:13:48.891,2023-08-17 00:00:00.0,Việt Nam,,"trệt, 187, Khuông Việt, phường Phú Trung, quận Tân Phú, thành phố Hồ Chí Minh, Việt Nam",Lê Ngọc Mỹ,Việt Nam,"79-05212-01
Gia công",2018-08-17 16:13:48.891,2023-08-17 00:00:00.0,"Gia công : Nhôm, kim loại màu,","Showa Industry Inc.,","1-7-5 Nyoisaru, Kasugai-shi, Aichi-ken, Japan",81-568-31-5175,0,Nhật Bản,,0 USD
VIKUDHA OVERSEAS CORPORATION LIMITED,2018-08-14 09:36:16.786,2019-03-11 00:00:00.0,Việt Nam,,"Saigon Tower, 16, 29, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Trần Thị Phương Loan,Việt Nam,"79-05207-01
Thương mại",2018-08-14 09:36:16.786,2019-03-11 00:00:00.0,"Thương mại : Hàng tiêu dùng,",Vikudha Overseas Corporation Limited,"Flat/Room 1201-02A 12/F, The Centrium, 60 Wyndham Street Central, Hong Kong",85225234554,0,Hồng Kông,,0 USD
ACTIVE SYNERGY TRAINING &amp; CONSULTANCY PTE. LTD,2018-08-15 11:15:36.845,2023-08-15 00:00:00.0,Việt Nam,,"A &amp; B, 23, 76A, Lê Lai, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Xuân Thảo,Việt Nam,"79-05210-01
Dịch vụ",2018-08-15 11:15:36.845,2023-08-15 00:00:00.0,"Dịch vụ : Quản lý tài sản,",Active Synergy Training &amp; Consultancy Pte. Ltd,"7 Soon Lee Street, # 04-27/48, Ispace, Singapore (627608)",66352530,0,Singapore,,0 USD
PR NEWSWIRE ASIA LIMITED,2018-08-15 10:57:03.936,2019-05-29 00:00:00.0,Hồng Kông,,"Packsimex, tầng 1, 52, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",ROYCE CHUN YUEN SHIH,Hồng Kông,"79-05209-01
Thương mại",2018-08-15 10:57:03.936,2019-05-29 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",PR Newswire Asia Limited,"Flat/Rm 1607-8 16/F, China Resources Building, 26 Harbour Road Wan Chai, Hong Kong",852-25728228,0,Hồng Kông,,0 USD
"SASE TRADING CO., LTD",2018-08-14 14:05:35.441,2023-08-14 00:00:00.0,Hàn Quốc,,"Loyal, 8, 151, Võ Thị Sáu, phường 6, quận 3, thành phố Hồ Chí Minh, Việt Nam",CHOI BONGJAE,Hàn Quốc,"79-05208-01
Thương mại",2018-08-14 14:05:35.441,2023-08-14 00:00:00.0,"Thương mại : Thực phẩm,","Sase Trading Co., Ltd","11, Sansusandan 3 - ro, Deoksan-myeon, Jincheon-gun, Chungcheongbuk-do, Korea",82-1522-4891,0,Hàn Quốc,,0 USD
"DOHWA ENGINEERING CO., LTD.",2018-08-13 14:56:39.454,2023-08-12 00:00:00.0,Hàn Quốc,,"Fideco, 3, 28, Phùng Khắc Khoan, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lee Seokhee,Hàn Quốc,"79-05206-01
Đầu tư",2018-08-13 14:56:39.454,2023-08-12 00:00:00.0,"Đầu tư : Xây dựng công trình,","Dohwa Engineering Co., Ltd.","Dohwa Tower, 438, Samseong-ro, Gangnam-gu, Seoul, Korea",82-2-6326-3000,0,Hàn Quốc,Seoul,0 USD
D-LINK INTERNATIONAL PTE LTD,2018-08-09 10:18:32.755,2023-08-08 00:00:00.0,Singapore,,"8, khu B2, 308-308C, Phường 04, quận 3, thành phố Hồ Chí Minh, Việt Nam",Wong Kok San,Singapore,"79-05205-01
Thương mại",2018-08-09 10:18:32.755,2023-08-08 00:00:00.0,"Thương mại : Phần cứng máy tính,",D-Link International Pte Ltd,"1 International Business Park, #03-12, The Synergy, Singapore (609917)",6567746233,0,Singapore,,0 USD
NEWLAND ALL NATURE,2018-08-08 11:18:07.167,2023-08-08 00:00:00.0,Hàn Quốc,,"3, 8, Lê Văn Thiêm, phường Tân Phong, quận 7, thành phố Hồ Chí Minh, Việt Nam",Lee See Young,Hàn Quốc,"79-05204-01
Thương mại",2018-08-08 11:18:07.167,2023-08-08 00:00:00.0,"Thương mại : Thực phẩm,",Newland All Nature,"1st Floor, 80-79 Jagap-gil Jijeong-myeon Wonju-si Gangwon-do, Korea",82337442100,0,Hàn Quốc,,0 USD
"NISHI-NIPPON RAILROAD CO., LTD.",2018-08-06 15:10:25.1,2023-08-06 00:00:00.0,Nhật Bản,,"6, Vincom Center B, 12A, 72, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Tetsuya Tanaka,Nhật Bản,"79-05203-01
Dịch vụ",2018-08-06 15:10:25.1,2023-08-06 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,","Nishi-Nippon Railroad Co., Ltd.","1-11-17 Tenjin, Chuo-ku, Fukuoka-shi, Fukuoka, Japan",81927341302,0,Nhật Bản,,0 USD
COOPERATION PHARMACEUTIQUE FRANCAISE,2018-08-06 09:49:40.888,2023-08-05 00:00:00.0,Cộng Hòa Pháp,,"717-1Register04, Mê Linh Point Tower, 7, 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam","Louis, Benjamin Giboin",Cộng Hòa Pháp,"79-05202-01
Thương mại",2018-08-06 09:49:40.888,2023-08-05 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Cooperation Pharmaceutique Francaise,"Place Lucien Auvert 77000 Melun, France",330164872000,0,Pháp,,0 USD
EWD-COMPASS B.V.,2018-08-02 09:17:50.53,2023-08-01 00:00:00.0,Việt Nam,,"lầu 4, 150/9, Nguyễn Trãi, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lưu Chí Hồng,Việt Nam,"79-05201-01
Dịch vụ",2018-08-02 09:17:50.53,2023-08-01 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",EWD-Compass B.V.,"Werkmansbeemd, 8B, 4907, EW Oosterhout NB, Netherland",31162466844,0,Hà Lan,,0 USD
"HAN YOUNG INDUSTRY CO., LTD.",2018-07-31 09:30:57.415,2023-08-31 00:00:00.0,Hàn Quốc,,"Beautiful Saigon, 2, 02, Nguyễn Khắc Viện, phường Tân Phú, quận 7, thành phố Hồ Chí Minh, Việt Nam",Sung Injae,Hàn Quốc,"79-05198-01
Thương mại",2018-07-31 09:30:57.415,2023-08-31 00:00:00.0,"Thương mại : Sản phẩm may mặc, dệt may,","Han Young Industry Co., Ltd.","36, Nakdongnam-ro, 533beon-gil, Gangseo-gu, Busan, Korea",,0,Hàn Quốc,,0 USD
"HAN YOUNG SYNTHETIC CO., LTD",2018-07-31 09:52:55.606,2023-07-31 00:00:00.0,Hàn Quốc,,"Beautiful Saigon, 2, Nguyễn Khắc Viện, phường Tân Phú, quận 7, thành phố Hồ Chí Minh, Việt Nam",Kwak Soo Young,Hàn Quốc,"79-05199-01
Sản xuất",2018-07-31 09:52:55.606,2023-07-31 00:00:00.0,"Sản xuất : Nguyên phụ liệu dệt may, da giày,","Han Young Synthetic Co., Ltd","11, Daedong-ro 283beon-gil, Sasang-gu, Busan, Korea",,0,Hàn Quốc,,0 USD
OVERSEAS MARINE CERTIFICATION SERVICES INC,2018-07-31 10:32:30.738,2023-07-31 00:00:00.0,Philippines,,"A &amp; B, lầu 23, 76A, Lê Lai, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Mary Jessica Young Rosales,Philippines,"79-05200-01
Dịch vụ",2018-07-31 10:32:30.738,2023-07-31 00:00:00.0,"Dịch vụ : Giao nhận, vận tải đường biển,",Overseas Marine Certification Services inc,"Bldg. 0750D-Williamson Place, La Boca, Balboa, Panama City, Republic of Panama",507-314-1756,0,Panama,,0 USD
"FUELCLOUD, INC.",2018-07-30 08:39:37.393,2023-07-29 00:00:00.0,Việt Nam,,"trệt, 469 , Điện Biên Phủ, phường 3, quận 3, thành phố Hồ Chí Minh, Việt Nam",Phạm Thế Anh,Việt Nam,"79-05196-01
Chế biến",2018-07-30 08:39:37.393,2023-07-29 00:00:00.0,"Chế biến : Phần cứng máy tính,","Fuelcloud, Inc.","453 SW Washington St, Hillsboro or 97123, United States of America",15034751561,0,Hoa Kỳ,,0 USD
MIXEL,2018-07-30 10:51:42.577,2023-07-30 00:00:00.0,Cộng Hòa Pháp,,"Tòa nhà Pilotco 1, 6, 45ABCD, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam","Philippe, Mathieu,hervé Bauden",Cộng Hòa Pháp,"79-05197-01
Thương mại",2018-07-30 10:51:42.577,2023-07-30 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",MIXEL,"1 Place du Paisy, 69570 Dardilly, France",330472521818,0,Pháp,,0 USD
"KWANG YUEL CO., LTD",2018-07-25 09:08:23.77,2023-07-25 00:00:00.0,Taiwan,,"Bitexco Financial Tower, 46, 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam","Peng, Kai-Chuan",Taiwan,"79-05192-01
Thương mại",2018-07-25 09:08:23.77,2023-07-25 00:00:00.0,"Thương mại : Hàng tiêu dùng,","Kwang Yuel Co., Ltd","1F. 2F., No 12, Shu Jhong St, Shu Lin District, New Taipei City, Taiwan, (R.O.C.)",886286868628,0,Taiwan,,0 USD
"SUNBUILD CO., LTD.",2018-07-25 16:30:39.833,2023-07-25 00:00:00.0,Nhật Bản,,"B.1, HM Town, 14, 412, Phường 05, quận 3, thành phố Hồ Chí Minh, Việt Nam",Teruhiko Oda,Nhật Bản,"79-05195-01
Thương mại",2018-07-25 16:30:39.833,2023-07-25 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,","Sunbuild Co., Ltd.","Gran Yotsuya 202, 11-1 Aizumicho, Shinjuku-ku, Tokyo, Japan",0333568722,0,Nhật Bản,Tokyo,0 USD
"FOUR HANDS, LLC",2018-07-25 10:34:30.865,2019-07-25 00:00:00.0,Australia,,"Khu thương mại Screc II, Tầng I và một phần tầng II, 59, đường số 4, An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Evans Matthew William,Australia,"79-05194-01
Thương mại",2018-07-25 10:34:30.865,2019-07-25 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,","Four Hands, LLC","2090 Woodward street, Austin, Texas 78744, USA",(512)3717575,0,Hoa Kỳ,,0 USD
"SHANGHAI TUNNEL ENGINEERING CO., LTD",2018-07-25 09:57:47.912,2023-07-25 00:00:00.0,Trung Quốc,,"85, Hoàng Sa, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Cai Zhi,Trung Quốc,"79-05193-01
Xây dựng",2018-07-25 09:57:47.912,2023-07-25 00:00:00.0,"Xây dựng : Xây dựng công trình,","Shanghai Tunnel Engineering Co., Ltd","1099 South Wanping Road, Xuhui District, Shanghai, China",,0,Trung Quốc,,0 USD
ATLANTIC INTERNATIONAL,2018-07-19 17:28:38.739,2023-07-19 00:00:00.0,Bulgaria,,"1901, Saigon Trade Center, 19, 37, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Borislav Naskov Radenkov,Bulgaria,"79-05188-01
Thương mại",2018-07-19 17:28:38.739,2023-07-19 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Atlantic International,"17 rue Croix Fauchet 45140 Saint-Jean-de-la-Ruelle, France",0033(0)251443434,0,Pháp,,0 USD
MORITOMO CORPORATION,2018-07-18 14:31:45.314,2023-07-18 00:00:00.0,Việt Nam,,"033, Tòa nhà Centec Tower, 4, , 72-74, Nguyễn Thị Minh Khai, phường 6, quận 3, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Nhâm,Việt Nam,"79-05187-01
Thương mại",2018-07-18 14:31:45.314,2023-07-18 00:00:00.0,"Thương mại : Mỹ phẩm,",Moritomo Corporation,"15-9 Nihonbashi-Koamicho, Chuo-ku, Tokyo, Japan",8133667-7111,0,Nhật Bản,,0 USD
